wave,larva_count,larva_delay,larva_speed,larva_hp,ripper_count,ripper_delay,ripper_speed,ripper_hp,hormagaunt_count,hormagaunt_delay,hormagaunt_speed,hormagaunt_hp,scrap_base
1,12,90,30,6,0,120,40,24,0,150,50,45,2
2,25,60,32,6,0,120,40,24,0,150,50,45,2
3,40,45,34,7,2,180,38,24,0,150,50,45,2
4,60,35,35,8,4,140,40,28,0,150,50,45,2
5,100,24,35,8,8,100,42,30,1,300,50,50,3
6,140,20,36,8,12,80,42,32,2,240,50,50,3
7,180,16,38,9,16,70,44,34,4,200,52,55,3
8,220,14,38,10,20,60,44,36,6,160,52,60,4
9,260,12,40,10,25,50,45,38,8,140,55,65,4
10,300,10,40,12,30,40,46,40,12,120,55,70,5
11,60,18,42,14,35,36,48,45,15,90,58,80,6
12,80,15,42,15,40,32,48,48,20,80,58,90,8
13,100,14,44,16,50,28,50,50,25,70,60,100,10
14,120,12,44,18,60,25,50,55,30,60,60,110,12
15,150,10,45,20,70,22,52,60,40,50,62,120,15
16,160,10,46,22,80,20,52,65,50,45,62,130,20
17,180,9,46,25,90,18,54,70,60,40,64,140,25
18,200,8,48,28,100,16,54,75,70,35,64,150,30
19,220,8,48,30,110,15,55,80,80,30,65,160,40
20,250,6,50,35,130,12,56,90,100,25,66,180,50
